easting(Km) northing(Km)  Initial_Potential  Cumulative_Production              
398.340   4210.880  45   34
396.664   4210.857  60   27
402.120   4198.872  133  18
390.697   4194.555  4074 -999
401.315   4214.439  462  -999
407.323   4211.217  366  -999
404.052   4214.473  302  -999
409.284   4209.276  103  -999
410.925   4219.633  381  -999
409.477   4217.097  327  -999
410.239   4217.077  222  -999
406.709   4208.938  286  -999
392.091   4213.558  244  -999
410.075   4216.469  412  -999
411.007   4216.725  95   -999
395.226   4219.876  83   -999
406.690   4212.678  93   -999
407.080   4209.988  97   -999
409.049   4213.395  169  -999
396.835   4218.157  207  -999
407.335   4209.253  103  -999
406.146   4208.834  193  -999
399.510   4214.639  67   -999
410.053   4196.162  50   -999
404.815   4214.464  700  -999
407.310   4213.193  203  -999
404.410   4215.035  502  -999
410.100   4210.831  73   -999
408.368   4210.495  109  -999
398.491   4217.337  492  -999
406.831   4195.798  127  -999
407.311   4200.098  61   -999
391.887   4206.047  342  -999
407.118   4208.678  114  -999
408.277   4207.911  33   -999
408.075   4212.585  117  -999
390.885   4197.404  158  -999
409.694   4208.206  76   -999
398.733   4217.723  823  -999
411.844   4212.244  97   -999
406.385   4207.522  135  -999
410.299   4208.110  53   -999
410.924   4196.219  210  -999
410.709   4219.946  713  -999
409.170   4219.508  103  -999
393.860   4199.707  424  -999
411.986   4218.811  267  -999
407.301   4200.764  28   -999
406.447   4209.896  137  -999
409.878   4210.578  58   -999
400.201   4213.044  11   -999
399.882   4218.485  253  -999
409.309   4209.941  119  -999
406.094   4212.008  300  -999
403.892   4195.599  88   -999
411.085   4219.864  660  -999
411.646   4219.869  350  -999
398.306   4218.671  179  -999
402.078   4217.382  36   -999
410.749   4217.948  146  -999
410.534   4217.595  386  -999
409.787   4218.969  1400 -999
407.872   4210.945  110  -999
404.698   4209.639  251  -999
397.572   4218.159  127  -999
405.688   4214.088  235  -999
410.449   4219.372  782  -999
410.293   4218.785  622  -999
406.715   4210.281  198  -999
410.173   4219.763  539  -999
409.765   4219.413  1107 -999
400.532   4216.391  207  -999
399.154   4218.439  481  -999
393.452   4200.156  382  -999
409.504   4210.860  100  -999
409.978   4193.289  44   -999
404.841   4209.160  331  -999
406.687   4305.556  84   -999

